== J1: order 175560 built in 5.1s
  [J1] |G|=175560 degree=266 odd classes=10 involution classes=1 subgroup candidates=52 (largest 660)  setup 423.5s
  [J1] generating pairs (a,x) up to conjugacy and inversion: 544  (449.1s)
    pair ord(x)=19 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [17.5s]
    pair ord(x)=19 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [17.5s]
    pair ord(x)=19 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [17.5s]
    pair ord(x)=19 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [17.5s]
    pair ord(x)=19 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=19 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=19 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=19 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [15.9s]
    pair ord(x)=19 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=19 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=19 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [15.6s]
    pair ord(x)=19 ord(ax)=3: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=19 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=19 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=19 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.7s]
    pair ord(x)=19 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [15.8s]
    pair ord(x)=19 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [16.5s]
    pair ord(x)=19 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.7s]
    pair ord(x)=19 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.6s]
    pair ord(x)=19 ord(ax)=15: True quotient by stab(pt) of order 660 (266 vertices) [16.7s]
    pair ord(x)=19 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.1s]
    pair ord(x)=19 ord(ax)=7: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=11: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=10: True quotient by stab(pt) of order 660 (266 vertices) [16.1s]
    pair ord(x)=19 ord(ax)=19: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=6: True quotient by stab(pt) of order 660 (266 vertices) [16.0s]
    pair ord(x)=19 ord(ax)=5: True quotient by stab(pt) of order 660 (266 vertices) [16.4s]
